# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06475,RAD:BX43,PLC:Helchteren,NOD:behel,CTY:605,CMT:behel_scan_200km_dp_dBZ
# polar volume input: /tmp/20191021000000.rad.behel.pvol.dbzh.scanz.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191021 0000    0    nan    nan     nan   nan   nan   2.99 T    nan    nan    nan  19.05     0     0  6425  9094
20191021 0000  200    nan    nan     nan   nan   nan   3.40 T  -3.09  170.6   0.00  23.35   816   876 42837 55109
20191021 0000  400    nan    nan     nan   nan   nan   3.44 T  -3.73  147.2   0.00   8.03   389   396 20486 21467
20191021 0000  600    nan    nan     nan   nan   nan   3.78 T  -5.27  103.3   0.00   7.76   179   224 15612 15999
20191021 0000  800   0.15   7.32   -4.26  7.32   1.2   3.85 F  -1.66  237.1  21.56   7.30  1469  1560 14437 15103
20191021 0000 1000  -0.26   7.53   -0.54  7.53 358.0   3.32 F  -3.95  139.8  12.71   4.81  3056  3680  9788 10772
20191021 0000 1200   0.07   7.98    0.22  7.98   0.5   2.63 F  -6.94   70.2   6.38   5.23  5660  6929 10773 12280
20191021 0000 1400   0.13   8.32   -1.74  8.32   0.9   1.94 F  -9.44   39.5   0.00   2.49  5234  6153  8519  9537
20191021 0000 1600   0.31   8.99   -1.73  9.00   2.0   1.44 F -12.73   18.5   0.00  -0.87  5342  5916  8042  8677
20191021 0000 1800   0.25   9.36   -1.22  9.37   1.5   1.64 F -12.61   19.1   0.00  -2.14  3680  6616  6193  9354
20191021 0000 2000   0.78  10.52   -2.19 10.55   4.2   2.17 F -14.16   13.3   1.21  -3.11  2037  7547  3727  9791
20191021 0000 2200   0.95  10.50    0.29 10.54   5.2   1.84 F -15.64    9.5   0.00  -9.59  3174  7148  4401  8589
20191021 0000 2400   1.11  10.43    0.71 10.48   6.1   1.96 F -12.61   19.0   0.00 -12.49  3964  7244  4379  7789
20191021 0000 2600   0.25  10.67    0.14 10.68   1.4   3.22 F -15.30   10.2   0.93 -15.28  1316  6896  1398  7243
20191021 0000 2800  -6.54  -3.11   -2.45  7.24 244.6   3.68 F -19.66    3.8   0.34 -19.69   366  7616   369  7680
20191021 0000 3000  19.51  34.78   -0.66 39.87  29.3   3.53 F -20.54    3.1   0.28 -20.54   487  7073   487  7073
20191021 0000 3200   0.33  13.95   -5.19 13.95   1.4   2.71 F -22.98    1.7   0.16 -22.98   522  7800   522  7800
20191021 0000 3400   0.65  13.25   -2.55 13.26   2.8   1.58 F -22.24    2.1   0.00 -22.24   932  5578   932  5578
20191021 0000 3600   0.99  13.35   -2.17 13.39   4.2   1.17 F -24.55    1.2   0.00 -24.55   882  5311   882  5311
20191021 0000 3800 -17.09   9.54    1.03 19.57 299.2   3.20 F -30.40    0.3   0.03 -30.40    98  5685    98  5685
20191021 0000 4000    nan    nan     nan   nan   nan    nan T -39.60    0.0   0.00 -39.60     7  5028     7  5028
20191021 0000 4200    nan    nan     nan   nan   nan    nan T -33.44    0.2   0.00 -33.44    24  5663    24  5663
20191021 0000 4400    nan    nan     nan   nan   nan    nan T -42.13    0.0   0.00 -42.13    12  4279    12  4279
20191021 0000 4600    nan    nan     nan   nan   nan    nan T -36.77    0.1   0.00 -36.77    15  3928    15  3928
20191021 0000 4800    nan    nan     nan   nan   nan    nan T -38.97    0.0   0.00 -38.97    13  3947    13  3947
20191021 0005    0    nan    nan     nan   nan   nan   3.25 T    nan    nan    nan  21.41     0     0  6134  8946
20191021 0005  200    nan    nan     nan   nan   nan   3.35 T  -4.48  123.8   0.00  26.40   591   602 42448 54658
20191021 0005  400    nan    nan     nan   nan   nan   3.59 T  -5.08  107.9   0.00   7.95   302   324 20379 21362
20191021 0005  600    nan    nan     nan   nan   nan   3.82 T  -6.34   80.7   0.00   6.20   116   136 15254 15669
20191021 0005  800  -0.22   7.42   -1.95  7.43 358.3   3.86 F  -1.12  268.4  24.40   6.39  1522  1601 14536 15046
20191021 0005 1000  -0.26   7.18   -0.08  7.19 358.0   3.27 F  -4.83  114.3  10.39   3.73  3662  4486  9811 10963
20191021 0005 1200   0.31   7.81    1.00  7.82   2.3   2.37 F  -7.82   57.4   5.22   2.84  5848  7168 10833 12394
20191021 0005 1400   0.41   8.19   -2.01  8.21   2.9   1.69 F -10.39   31.8   0.00   2.03  5290  6269  8397  9488
20191021 0005 1600   0.39   8.67   -1.99  8.68   2.6   1.28 F -11.89   22.5   0.00  -3.10  5536  6370  7867  8717
20191021 0005 1800   0.50   9.27   -1.08  9.28   3.1   1.61 F -13.16   16.8   0.00  -3.90  4269  7158  6277  9451
20191021 0005 2000   0.57  10.17   -1.59 10.19   3.2   2.07 F -14.37   12.7   1.16  -6.06  2487  7778  3881  9779
20191021 0005 2200   1.33  10.45    0.38 10.53   7.2   1.81 F -16.36    8.0   0.00  -7.41  3607  7332  4509  8587
20191021 0005 2400   1.27  10.40    0.45 10.48   7.0   2.00 F -13.63   15.1   0.00 -13.41  4006  7381  4408  7846
20191021 0005 2600   0.11  10.22   -0.53 10.22   0.6   3.05 F -14.74   11.7   1.06 -14.68  1594  7057  1650  7188
20191021 0005 2800  -5.54  -3.11   -2.38  6.35 240.7   3.81 F -19.28    4.1   0.37 -19.30   453  7613   455  7660
20191021 0005 3000 -10.04  17.01   -1.82 19.75 329.4   3.07 F -21.39    2.5   0.23 -21.39   389  7087   389  7087
20191021 0005 3200  20.23  35.03    2.75 40.45  30.0   2.62 F -20.64    3.0   0.27 -20.64   518  7789   518  7789
20191021 0005 3400  -0.77  13.27   -0.07 13.29 356.7   1.30 F -22.32    2.0   0.00 -22.32   954  5597   954  5597
20191021 0005 3600   0.21  13.20   -0.57 13.21   0.9   0.94 F -25.58    1.0   0.00 -25.58  1083  5321  1083  5321
20191021 0005 3800  -2.17  -2.85   -4.15  3.59 217.3   2.16 F -30.90    0.3   0.03 -30.90   143  5698   143  5698
20191021 0005 4000    nan    nan     nan   nan   nan    nan T -36.81    0.1   0.00 -36.81    15  5020    15  5020
20191021 0005 4200    nan    nan     nan   nan   nan    nan T -35.97    0.1   0.00 -35.97    27  5648    27  5648
20191021 0005 4400    nan    nan     nan   nan   nan    nan T -29.47    0.4   0.00 -29.47    12  4279    12  4279
20191021 0005 4600    nan    nan     nan   nan   nan    nan T -41.57    0.0   0.00 -41.57     2  3915     2  3915
20191021 0005 4800    nan    nan     nan   nan   nan    nan T -39.41    0.0   0.00 -39.41    13  3942    13  3942
20191021 0010    0    nan    nan     nan   nan   nan   3.35 T    nan    nan    nan  18.70     0     0  5757  8975
