# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06410,RAD:BX42,PLC:Jabbeke,NOD:bejab,CTY:605,CMT:bejab_scan_v3_V_dBZ
# polar volume input: /tmp/20191021000000.rad.bejab.pvol.dbzh.scanv.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191021 0000    0    nan    nan     nan   nan   nan   2.17 T    nan    nan    nan  31.94     0     0  9046  9560
20191021 0000  200    nan    nan     nan   nan   nan   1.93 T    nan    nan   0.00  31.60     0     0 15569 16228
20191021 0000  400    nan    nan     nan   nan   nan   1.54 T    nan    nan   0.00  29.58     0     0 13042 13503
20191021 0000  600    nan    nan     nan   nan   nan   1.52 T    nan    nan   0.00  30.06     0     0  8624  8881
20191021 0000  800    nan    nan     nan   nan   nan   1.52 T    nan    nan   0.00  29.86     0     0  9357  9571
20191021 0000 1000    nan    nan     nan   nan   nan   1.71 T    nan    nan   0.00  30.22     0     0  5860  6047
20191021 0000 1200    nan    nan     nan   nan   nan   2.03 T    nan    nan    nan  30.23     0     0  6959  7101
20191021 0000 1400    nan    nan     nan   nan   nan   2.38 T    nan    nan    nan  30.09    23    24  5836  5936
20191021 0000 1600    nan    nan     nan   nan   nan   2.25 T -10.61   30.6   0.00  30.68    74    85  4396  4542
20191021 0000 1800    nan    nan     nan   nan   nan   2.11 T    nan    nan    nan  32.10     1     3  3934  4236
20191021 0000 2000    nan    nan     nan   nan   nan   2.30 T    nan    nan    nan  34.54     0     2  3605  3858
20191021 0000 2200    nan    nan     nan   nan   nan   2.25 T    nan    nan    nan  35.50     4     8  3308  3528
20191021 0000 2400    nan    nan     nan   nan   nan   2.12 T    nan    nan    nan  29.41     1     1  2972  3200
20191021 0000 2600    nan    nan     nan   nan   nan   2.00 T    nan    nan   0.00  23.64     0     0  2484  2850
20191021 0000 2800    nan    nan     nan   nan   nan   1.80 T    nan    nan   0.00  23.07     0     0  2248  2492
20191021 0000 3000    nan    nan     nan   nan   nan   1.60 T    nan    nan   0.00  22.42     1     1  1695  1781
20191021 0000 3200    nan    nan     nan   nan   nan   1.42 T    nan    nan   0.00  20.62     0    14  1898  2140
20191021 0000 3400    nan    nan     nan   nan   nan   1.25 T    nan    nan   0.00  19.03     0    23  1550  1785
20191021 0000 3600    nan    nan     nan   nan   nan   1.40 T   -inf    0.0   0.00  17.11     0    42  1409  1784
20191021 0000 3800    nan    nan     nan   nan   nan   1.39 T -21.06    2.8   0.00  17.05     2    68  1378  1787
20191021 0000 4000    nan    nan     nan   nan   nan   1.30 T   -inf    0.0   0.00  17.56     0    41   858  1070
20191021 0000 4200    nan    nan     nan   nan   nan   1.55 T -16.56    7.8   0.00  16.55     4    68   853  1071
20191021 0000 4400    nan    nan     nan   nan   nan   1.78 T  -9.40   40.4   0.00  15.89    10    46   585   717
20191021 0000 4600    nan    nan     nan   nan   nan   1.73 T -12.81   18.4   0.00  13.17    35   134   352   718
20191021 0000 4800    nan    nan     nan   nan   nan   1.70 T -19.13    4.3   0.00  11.77    12   151   571  1073
20191021 0005    0    nan    nan     nan   nan   nan   1.84 T    nan    nan   0.00  31.95     0     0  9301  9738
20191021 0005  200    nan    nan     nan   nan   nan   1.77 T    nan    nan   0.00  29.43     0     0 15700 16212
20191021 0005  400    nan    nan     nan   nan   nan   1.44 T    nan    nan   0.00  28.85     0     0 13134 13532
20191021 0005  600    nan    nan     nan   nan   nan   1.18 T    nan    nan   0.00  29.05     0     0  8646  8897
20191021 0005  800    nan    nan     nan   nan   nan   1.59 T    nan    nan   0.00  28.84     0     0  9351  9564
20191021 0005 1000    nan    nan     nan   nan   nan   1.69 T    nan    nan   0.00  28.86     0     0  5861  6024
20191021 0005 1200    nan    nan     nan   nan   nan   2.04 T    nan    nan    nan  28.86     0     0  6921  7072
20191021 0005 1400    nan    nan     nan   nan   nan   2.31 T    nan    nan    nan  28.96     4     7  5800  5922
20191021 0005 1600    nan    nan     nan   nan   nan   2.32 T    nan    nan    nan  29.74     0     0  4352  4546
20191021 0005 1800    nan    nan     nan   nan   nan   2.08 T    nan    nan    nan  31.10     0     0  3933  4270
20191021 0005 2000    nan    nan     nan   nan   nan   2.27 T    nan    nan    nan  33.66     0     0  3500  3853
20191021 0005 2200    nan    nan     nan   nan   nan   2.32 T    nan    nan    nan  32.93     0     0  3256  3525
20191021 0005 2400    nan    nan     nan   nan   nan   2.10 T    nan    nan    nan  25.78     0     0  2895  3186
20191021 0005 2600    nan    nan     nan   nan   nan   1.93 T    nan    nan   0.00  21.92     0    19  2420  2850
20191021 0005 2800    nan    nan     nan   nan   nan   1.82 T    nan    nan   0.00  21.17     0    19  2219  2485
20191021 0005 3000    nan    nan     nan   nan   nan   1.58 T  -6.59   77.2   0.00  19.46     0    28  1634  1763
20191021 0005 3200    nan    nan     nan   nan   nan   1.39 T -19.04    4.4   0.00  17.72     3    68  1858  2147
20191021 0005 3400    nan    nan     nan   nan   nan   1.28 T -13.94   14.2   0.00  16.72     7    54  1519  1790
20191021 0005 3600    nan    nan     nan   nan   nan   1.24 T  -5.80   92.5   0.00  15.84    21   144  1316  1790
20191021 0005 3800    nan    nan     nan   nan   nan   1.18 T -17.64    6.1   0.00  15.40     9   110  1258  1777
20191021 0005 4000    nan    nan     nan   nan   nan   1.51 T    nan    nan   0.00  16.15    15    16   888  1070
20191021 0005 4200    nan    nan     nan   nan   nan   1.62 T -16.89    7.2   0.00  15.91    10    43   827  1072
20191021 0005 4400    nan    nan     nan   nan   nan   1.75 T -18.71    4.7   0.00  16.16    13    64   542   715
20191021 0005 4600    nan    nan     nan   nan   nan   2.07 T -21.60    2.4   0.00  10.97     1   130   355   712
20191021 0005 4800    nan    nan     nan   nan   nan   2.03 T -14.23   13.3   0.00  12.25    18   207   563  1073
20191021 0010    0    nan    nan     nan   nan   nan   1.55 T    nan    nan   0.00  31.80     0     0  9484  9773
20191021 0010  200    nan    nan     nan   nan   nan   1.50 T    nan    nan   0.00  29.89     0     0 15780 16219
20191021 0010  400    nan    nan     nan   nan   nan   1.30 T    nan    nan   0.00  29.58     0     0 13262 13532
20191021 0010  600    nan    nan     nan   nan   nan   1.10 T    nan    nan   0.00  29.77     0     0  8751  8915
20191021 0010  800    nan    nan     nan   nan   nan   1.56 T    nan    nan   0.00  29.73     0     0  9481  9568
