# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06410,RAD:BX42,PLC:Jabbeke,NOD:bejab,CTY:605,CMT:bejab_scan_v3_V_dBZ
# polar volume input: /tmp/20191029000000.rad.bejab.pvol.dbzh.scanv.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191029 0000    0  -6.31  -1.58  -78.63  6.51 255.9   5.10 F   9.83 3381.0 307.36  32.14  4473  6304  5222  7205
20191029 0000  200 -12.11  -3.90  -57.71 12.73 252.1   4.75 F   6.18 1457.8 132.53  13.06  6028  8296 10994 15248
20191029 0000  400 -13.12  -6.62  -38.99 14.70 243.2   4.56 F   0.48  392.7  35.70   2.04  3538  5318  9021 12615
20191029 0000  600 -11.38  -5.47   -9.29 12.62 244.3   5.03 F  -1.16  268.9  24.45  -0.61  2712  5232  4330  7714
20191029 0000  800  -8.60  -5.12  -15.50 10.01 239.2   5.26 F  -3.58  154.3  14.03  -3.48  2477  7198  2900  8251
20191029 0000 1000  -4.51  -1.95   -1.89  4.91 246.6   4.90 F  -5.90   90.4   8.21  -5.23  1321  4510  1483  4954
20191029 0000 1200  -2.79  -0.86    1.22  2.92 252.8   4.36 F  -9.51   39.4   3.58  -9.39   867  5818   970  6206
20191029 0000 1400  -0.59  -0.08    0.05  0.60 262.6   3.05 F -11.20   26.7   2.43 -11.21   830  5339   831  5369
20191029 0000 1600  -0.47   0.66    1.44  0.81 324.4   2.60 F -15.42   10.1   0.92 -15.42   363  4256   363  4256
20191029 0000 1800  -1.31   0.39   -0.19  1.37 286.7   3.07 F -16.78    7.4   0.67 -16.78   223  4042   223  4042
20191029 0000 2000   0.61   0.49    0.95  0.79  51.3   1.99 F -18.74    4.7   0.00 -18.74   245  3683   245  3683
20191029 0000 2200   0.55   0.41    2.28  0.69  53.2   1.55 F -21.40    2.5   0.00 -20.01   128  3044   286  3350
20191029 0000 2400    nan    nan     nan   nan   nan   1.20 T -27.76    0.6   0.00 -25.96    31  2374   213  3164
20191029 0000 2600    nan    nan     nan   nan   nan   1.63 T -23.81    1.5   0.00 -23.28    26  1758   166  2826
20191029 0000 2800    nan    nan     nan   nan   nan   2.31 T -24.04    1.4   0.00 -21.56    30   796   186  2469
20191029 0000 3000    nan    nan     nan   nan   nan   1.84 T -15.90    9.0   0.00 -12.42    13   192   352  1761
20191029 0000 3200    nan    nan     nan   nan   nan   1.01 T -12.75   18.7   0.00  -1.44    24   100  1168  2126
20191029 0000 3400    nan    nan     nan   nan   nan   0.85 T    nan    nan   0.00   3.34     3    18  1505  1782
20191029 0000 3600    nan    nan     nan   nan   nan   0.89 T    nan    nan   0.00   7.27     0     0  1674  1767
20191029 0000 3800    nan    nan     nan   nan   nan   1.07 T    nan    nan   0.00  10.56     0     0  1733  1734
20191029 0000 4000    nan    nan     nan   nan   nan   1.78 T    nan    nan   0.00  12.00     0     0  1056  1057
20191029 0000 4200    nan    nan     nan   nan   nan   1.97 T    nan    nan   0.00  11.34     0     0  1060  1060
20191029 0000 4400    nan    nan     nan   nan   nan   1.93 T    nan    nan   0.00  10.27     0     0   710   711
20191029 0000 4600    nan    nan     nan   nan   nan   2.13 T    nan    nan    nan   9.75     0     0   707   712
20191029 0000 4800    nan    nan     nan   nan   nan   1.69 T    nan    nan   0.00   7.71     5     5  1058  1075
20191029 0005    0  -7.68  -1.81 -118.34  7.89 256.8   5.17 F   9.76 3327.9 302.54  29.66  4817  6548  5394  7273
20191029 0005  200 -12.50  -3.47  -35.85 12.97 254.5   4.74 F   6.20 1465.2 133.20  17.86  6019  8303 10960 15229
20191029 0005  400 -13.71  -4.36  -18.85 14.38 252.4   4.46 F   0.51  395.7  35.97   2.02  4277  6440  8772 12502
20191029 0005  600 -10.85  -4.17   -8.65 11.62 249.0   5.17 F  -1.52  247.5  22.50  -0.53  3119  5829  4245  7723
20191029 0005  800  -8.67  -4.74  -17.04  9.88 241.4   5.27 F  -4.12  136.2  12.38  -3.73  2497  7121  2884  8250
20191029 0005 1000  -4.19  -1.70   -7.53  4.52 248.0   4.84 F  -6.15   85.3   7.75  -6.02  1336  4603  1422  4993
20191029 0005 1200  -2.56  -1.44   -0.44  2.94 240.6   4.25 F -10.19   33.7   3.06 -10.05   929  6023  1015  6187
20191029 0005 1400  -0.50   0.10    0.22  0.51 281.7   3.06 F -11.14   27.0   2.46 -11.19   757  5262   757  5330
20191029 0005 1600  -0.42   0.37    1.55  0.55 311.3   2.97 F -15.31   10.3   0.94 -15.31   336  4202   336  4202
20191029 0005 1800  -0.64  -1.83   10.02  1.94 199.3   3.65 F -16.18    8.5   0.77 -16.18   203  4028   203  4028
20191029 0005 2000  -0.13   0.86    1.82  0.87 351.5   2.62 F -20.11    3.4   0.31 -20.11   203  3652   203  3652
20191029 0005 2200   0.14   0.27   -1.18  0.31  27.0   1.33 F -22.06    2.2   0.00 -20.46   144  3091   272  3329
20191029 0005 2400    nan    nan     nan   nan   nan   1.34 T -25.70    0.9   0.00 -24.93    58  2439   221  3149
20191029 0005 2600    nan    nan     nan   nan   nan   1.58 T -25.64    1.0   0.00 -23.26    35  1672   180  2816
20191029 0005 2800    nan    nan     nan   nan   nan   2.23 T -20.49    3.1   0.00 -18.13    15   741   216  2458
20191029 0005 3000    nan    nan     nan   nan   nan   2.06 T -18.54    4.9   0.00 -12.31     4   133   250  1740
20191029 0005 3200    nan    nan     nan   nan   nan   1.15 T -26.87    0.7   0.00  -2.23     1    82  1117  2115
20191029 0005 3400    nan    nan     nan   nan   nan   0.82 T   -inf    0.0   0.00   3.04     0    44  1511  1770
20191029 0005 3600    nan    nan     nan   nan   nan   0.83 T -14.58   12.2   0.00   7.47    10    39  1656  1756
20191029 0005 3800    nan    nan     nan   nan   nan   1.08 T  -4.30  130.7   0.00   9.71    26    26  1720  1720
20191029 0005 4000    nan    nan     nan   nan   nan   1.79 T    nan    nan   0.00  10.55     0     0  1053  1053
20191029 0005 4200    nan    nan     nan   nan   nan   2.01 T    nan    nan    nan  11.22     0     0  1056  1056
20191029 0005 4400    nan    nan     nan   nan   nan   2.02 T    nan    nan    nan  10.50     2     2   710   710
20191029 0005 4600    nan    nan     nan   nan   nan   2.35 T    nan    nan    nan  10.40     5     5   701   707
20191029 0005 4800    nan    nan     nan   nan   nan   1.77 T    nan    nan   0.00   8.32    16    16  1064  1072
20191029 0010    0  -6.52  -0.92  -28.93  6.58 262.0   5.12 F   9.94 3467.9 315.26  34.00  4037  5447  5327  7070
20191029 0010  200 -12.39  -3.10  -22.91 12.77 255.9   4.89 F   5.98 1391.7 126.52  15.80  6394  8947 10836 15178
20191029 0010  400 -13.96  -3.64    0.69 14.42 255.4   4.64 F   0.95  437.5  39.78   2.08  4236  6791  8343 12506
20191029 0010  600 -10.94  -5.41  -19.71 12.21 243.7   5.07 F  -1.62  242.2  22.02  -0.22  2468  4930  4116  7659
20191029 0010  800  -8.61  -4.80  -13.92  9.86 240.9   5.34 F  -4.17  134.5  12.22  -3.64  2155  6645  2790  8287
20191029 0010 1000  -4.02  -1.64   -5.32  4.34 247.8   4.65 F  -7.11   68.4   6.22  -6.60  1263  4584  1378  4926
20191029 0010 1200  -1.53  -0.74   -0.16  1.70 244.2   3.91 F -10.18   33.7   3.07  -9.94   793  6008   878  6191
20191029 0010 1400  -0.32   0.30   -1.21  0.44 313.0   2.89 F -11.54   24.7   2.24  -9.51   732  5359   733  5360
20191029 0010 1600   0.05   0.54    0.18  0.54   4.9   2.42 F -15.29   10.4   0.95 -15.29   372  4253   372  4253
20191029 0010 1800  -0.36   0.80   -2.56  0.88 335.9   2.26 F -18.17    5.4   0.49 -18.17   191  4037   191  4037
20191029 0010 2000   0.46   0.74   -0.36  0.87  31.7   1.76 F -17.43    6.4   0.00 -17.43   222  3657   222  3657
20191029 0010 2200  -0.09   0.47   -3.11  0.47 348.9   1.45 F -21.91    2.3   0.00 -20.91   159  3116   284  3354
20191029 0010 2400    nan    nan     nan   nan   nan   1.45 T -26.34    0.8   0.00 -25.18    62  2468   208  3148
20191029 0010 2600    nan    nan     nan   nan   nan   1.83 T -20.64    3.0   0.00 -20.31    44  1550   203  2815
20191029 0010 2800    nan    nan     nan   nan   nan   2.35 T -16.27    8.3   0.00 -16.95    26   629   225  2449
20191029 0010 3000    nan    nan     nan   nan   nan   1.82 T -14.58   12.3   0.00  -8.17    17   135   263  1741
20191029 0010 3200    nan    nan     nan   nan   nan   1.14 T -22.26    2.1   0.00  -3.32     9   127  1260  2137
20191029 0010 3400    nan    nan     nan   nan   nan   0.84 T -22.44    2.0   0.00   2.75     7    40  1551  1785
20191029 0010 3600    nan    nan     nan   nan   nan   0.88 T    nan    nan   0.00   6.92    11    18  1657  1754
20191029 0010 3800    nan    nan     nan   nan   nan   1.17 T    nan    nan   0.00   9.77    15    15  1729  1731
20191029 0010 4000    nan    nan     nan   nan   nan   1.83 T    nan    nan   0.00  10.65    15    15  1035  1035
20191029 0010 4200    nan    nan     nan   nan   nan   2.14 T    nan    nan    nan  10.85    15    15  1040  1040
20191029 0010 4400    nan    nan     nan   nan   nan   1.93 T    nan    nan   0.00   9.82    16    16   705   708
20191029 0010 4600    nan    nan     nan   nan   nan   2.33 T    nan    nan    nan   8.98     2     2   706   709
20191029 0010 4800    nan    nan     nan   nan   nan   1.67 T  -4.99  111.5   0.00   7.06    26    27  1065  1069
20191029 0015    0  -6.90  -0.21 -114.80  6.90 268.2   5.12 F   9.88 3423.7 311.25  27.64  4579  6223  5320  7154
20191029 0015  200 -12.38  -2.94  -44.50 12.72 256.6   4.84 F   5.93 1376.7 125.15  16.32  5979  8425 10634 15183
20191029 0015  400 -13.61  -4.53  -33.71 14.34 251.6   4.64 F   0.57  400.5  36.40   2.07  3691  6025  8521 12468
