# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06410,RAD:BX42,PLC:Jabbeke,NOD:bejab,CTY:605,CMT:bejab_scan_v3_V_dBZ
# polar volume input: /tmp/20191025000000.rad.bejab.pvol.dbzh.scanv.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191025 0000    0    nan    nan     nan   nan   nan   3.85 T -14.97   11.2   0.00  25.49    15   150  4724  6097
20191025 0000  200   5.13  -0.28  154.26  5.14  93.2   3.62 F  -5.99   88.5   8.05  26.40   494  2295  7769 14408
20191025 0000  400    nan    nan     nan   nan   nan   2.74 T -10.32   32.6   0.00  17.70   253  4830  5316 12979
20191025 0000  600    nan    nan     nan   nan   nan   2.45 T -10.55   31.0   0.00  11.87    76  2478  3844  8265
20191025 0000  800    nan    nan     nan   nan   nan   2.49 T -16.35    8.2   0.00  20.13    54  3211  3723  9055
20191025 0000 1000    nan    nan     nan   nan   nan   2.65 T -13.55   15.5   0.00  10.60    91  1764  2388  5582
20191025 0000 1200    nan    nan     nan   nan   nan   2.17 T -13.93   14.2   0.00  20.55   126  2854  2590  6872
20191025 0000 1400    nan    nan     nan   nan   nan   2.59 T -12.19   21.2   0.00  18.57    83  2545  2183  5830
20191025 0000 1600    nan    nan     nan   nan   nan   1.94 T -19.74    3.7   0.00  16.77    61  1952  1438  4498
20191025 0000 1800    nan    nan     nan   nan   nan   2.66 T -20.01    3.5   0.00  19.03    38  2276  1198  4198
20191025 0000 2000    nan    nan     nan   nan   nan   2.87 T  -9.63   38.2   0.00  12.29    76  1995  1055  3818
20191025 0000 2200    nan    nan     nan   nan   nan   3.44 T -22.83    1.8   0.00   7.90    62  1684   919  3456
20191025 0000 2400    nan    nan     nan   nan   nan   3.31 T -20.35    3.2   0.00   7.48    89  1829   723  3194
20191025 0000 2600    nan    nan     nan   nan   nan   3.24 T -14.23   13.3   0.00   8.88   100  1813   586  2835
20191025 0000 2800    nan    nan     nan   nan   nan    nan T -20.44    3.2   0.00  -5.28    84  1624   361  2491
20191025 0000 3000    nan    nan     nan   nan   nan    nan T -22.41    2.0   0.00  -7.20    46  1365   127  1776
20191025 0000 3200    nan    nan     nan   nan   nan    nan T -26.87    0.7   0.00 -21.52    24  1809    86  2144
