# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06410,RAD:BX42,PLC:Jabbeke,NOD:bejab,CTY:605,CMT:bejab_scan_v3_V_dBZ
# polar volume input: /tmp/20191015143000.rad.bejab.pvol.dbzh.scanv.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191015 1430    0    nan    nan     nan   nan   nan   2.40 T  -6.03   87.7   0.00  33.45   334   538  3852  5511
20191015 1430  200   2.86   2.74    0.56  3.96  46.2   2.51 F  -7.08   68.9   6.26  19.42  1822  5039  6397 14322
20191015 1430  400   3.93   4.60   34.92  6.05  40.5   2.24 F -10.97   28.1   2.56   0.28   868  6632  4431 12597
20191015 1430  600   4.52   4.99   11.44  6.74  42.2   1.77 F -11.66   24.0   0.00   1.32   898  4177  4148  8238
20191015 1430  800   3.80   5.67    2.66  6.83  33.8   1.41 F -10.16   33.9   0.00   1.47  1160  4377  4979  9251
20191015 1430 1000   2.72   4.52   -5.49  5.27  31.1   1.27 F  -8.41   50.8   0.00   1.17   967  2695  3777  5861
20191015 1430 1200   2.42   3.92   -2.28  4.61  31.7   1.18 F  -9.85   36.4   0.00  -0.66  1197  3679  3946  6948
20191015 1430 1400   2.17   3.20    0.96  3.86  34.2   0.97 F -10.94   28.3   0.00  -2.68   846  3346  2899  5812
20191015 1430 1600   2.10   3.09    1.22  3.74  34.2   1.07 F -16.83    7.3   0.00  -7.34   393  2883  1624  4427
20191015 1430 1800    nan    nan     nan   nan   nan   1.65 T -19.35    4.1   0.00 -12.48   115  2986   623  4085
20191015 1430 2000    nan    nan     nan   nan   nan   2.10 T -20.21    3.4   0.00 -16.83   113  2990   332  3708
20191015 1430 2200    nan    nan     nan   nan   nan   1.55 T -20.95    2.8   0.00 -19.32   145  2423   333  3367
20191015 1430 2400    nan    nan     nan   nan   nan   1.92 T -24.99    1.1   0.00 -19.63    67  1738   286  3147
20191015 1430 2600    nan    nan     nan   nan   nan   2.68 T -24.41    1.3   0.00 -11.38    44  1245   542  2827
20191015 1430 2800    nan    nan     nan   nan   nan   2.20 T -16.77    7.4   0.00  -5.99   107   808   835  2472
20191015 1430 3000    nan    nan     nan   nan   nan   1.15 T -13.04   17.5   0.00  -0.80   163   428  1029  1787
20191015 1430 3200    nan    nan     nan   nan   nan   1.11 T  -8.80   46.3   0.00   3.41   250   447  1763  2142
