# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06410,RAD:BX42,PLC:Jabbeke,NOD:bejab,CTY:605,CMT:bejab_scan_v3_V_dBZ
# polar volume input: /tmp/20191018000000.rad.bejab.pvol.dbzh.scanv.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191018 0000    0   0.85  -0.57  -78.09  1.02 123.7   2.87 F  -1.27  262.6  23.87  24.86   414   498  4507  5359
20191018 0000  200  -0.09   0.50  -17.51  0.51 350.3   3.40 F  -6.68   75.5   6.86  10.41  1142  6366  3503 13092
20191018 0000  400   1.75   0.69    0.32  1.88  68.4   2.37 F -13.99   14.0   1.27  -5.59   835  8640  1410 11324
20191018 0000  600   1.67   0.62   -1.45  1.78  69.6   1.70 F  -9.99   35.2   0.00  -5.40   754  5576  1082  6745
20191018 0000  800   1.55   0.65   -0.03  1.68  67.3   1.80 F -14.84   11.5   0.00  -9.18   786  6749  1002  7800
20191018 0000 1000   1.43   0.69   -1.08  1.58  64.3   1.95 F -12.12   21.6   0.00  -8.67   697  4197   792  4860
20191018 0000 1200   1.60   0.07   -0.59  1.60  87.4   1.91 F -18.29    5.2   0.00 -14.64   518  5669   672  6252
20191018 0000 1400   1.25   0.79   -0.03  1.48  57.8   2.13 F -16.12    8.6   0.78  -1.97   613  5077   673  5384
20191018 0000 1600   0.96   0.76    1.65  1.23  51.6   2.21 F -19.24    4.2   0.38  -5.45   280  4023   308  4286
20191018 0000 1800   1.02   0.74    2.88  1.26  54.1   2.49 F -21.30    2.6   0.24 -15.44   140  3843   178  4068
20191018 0000 2000   2.77  -0.12    5.41  2.77  92.5   3.44 F -20.08    3.5   0.31  -5.85   219  3494   274  3697
20191018 0000 2200   2.04   0.78    1.75  2.19  69.2   2.78 F -20.26    3.3   0.30 -10.99   189  3153   303  3372
20191018 0000 2400   1.52   1.06    0.11  1.86  55.1   2.14 F -24.48    1.3   0.11 -19.99   153  3016   215  3154
20191018 0000 2600   0.64   1.79   -0.58  1.90  19.7   2.55 F -22.14    2.1   0.20 -14.80   148  2724   170  2823
20191018 0000 2800    nan    nan     nan   nan   nan    nan T -17.98    5.6   0.00 -14.83   161  2465   166  2488
20191018 0000 3000    nan    nan     nan   nan   nan    nan T -19.59    3.9   0.00 -19.59    75  1784    75  1784
20191018 0000 3200    nan    nan     nan   nan   nan    nan T -28.03    0.6   0.00 -28.03    22  2142    22  2142
20191018 0000 3400    nan    nan     nan   nan   nan    nan T -38.02    0.1   0.00 -38.02    10  1783    10  1783
20191018 0000 3600    nan    nan     nan   nan   nan    nan T -30.12    0.3   0.00 -30.12    28  1798    28  1798
20191018 0000 3800    nan    nan     nan   nan   nan    nan T -29.71    0.4   0.00 -29.71    13  1794    13  1794
20191018 0000 4000    nan    nan     nan   nan   nan    nan T -27.52    0.6   0.00 -27.52    12  1074    12  1074
20191018 0000 4200    nan    nan     nan   nan   nan    nan T -36.30    0.1   0.00 -36.30     2  1078     2  1078
20191018 0000 4400    nan    nan     nan   nan   nan    nan T -40.56    0.0   0.00 -40.56     2   720     2   720
20191018 0000 4600    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0   720     0   720
20191018 0000 4800    nan    nan     nan   nan   nan    nan T -40.61    0.0   0.00 -40.61     3  1080     3  1080
20191018 0005    0   0.92  -0.13  -39.69  0.93  98.2   2.95 F  -2.07  218.2  19.83  25.67   463   610  4367  5320
20191018 0005  200  -0.99   1.53    8.53  1.82 327.1   3.38 F  -6.66   75.8   6.89  10.70  1261  7231  3524 12959
20191018 0005  400   1.37   1.02    3.06  1.71  53.2   2.24 F -12.62   19.2   1.75  -6.49   828  8722  1298 11209
20191018 0005  600   1.39   0.65    0.95  1.54  64.8   2.00 F -10.90   28.6   0.00  -8.53   867  5339  1130  6735
20191018 0005  800   1.27   0.66    0.45  1.43  62.7   1.86 F -13.14   17.1   0.00 -10.01   894  6980  1062  7894
20191018 0005 1000   1.47   0.52   -1.35  1.56  70.4   2.02 F -12.81   18.4   1.67 -12.03   722  4290   777  4832
20191018 0005 1200   1.56   0.89   -0.81  1.80  60.2   2.33 F -18.33    5.2   0.47 -11.12   518  5759   692  6261
20191018 0005 1400   0.77   0.94   -0.28  1.22  39.4   1.90 F -15.30   10.4   0.00 -15.04   584  5130   597  5348
20191018 0005 1600   0.84   1.26    0.37  1.52  33.6   2.44 F -19.93    3.6   0.33  -6.31   248  4109   273  4254
20191018 0005 1800   0.54   1.42    0.33  1.52  21.0   2.70 F -20.88    2.9   0.26 -10.29   145  3902   170  4054
20191018 0005 2000   0.64   1.24    0.07  1.39  27.1   2.49 F -20.91    2.9   0.26 -19.48   176  3522   190  3687
20191018 0005 2200   1.27   0.55    0.17  1.38  66.7   2.72 F -22.28    2.1   0.19 -16.68   194  3162   293  3362
20191018 0005 2400   2.26   1.74    1.47  2.85  52.4   2.25 F -24.10    1.4   0.12 -17.60   180  3024   240  3169
20191018 0005 2600   2.33   0.91    1.78  2.50  68.6   2.41 F -24.91    1.1   0.10 -24.94   156  2734   157  2822
20191018 0005 2800    nan    nan     nan   nan   nan    nan T -20.99    2.8   0.00 -20.89   145  2467   147  2482
20191018 0005 3000    nan    nan     nan   nan   nan    nan T -22.36    2.0   0.00 -22.36    71  1781    71  1781
20191018 0005 3200    nan    nan     nan   nan   nan    nan T -26.80    0.7   0.00 -26.80    35  2138    35  2138
20191018 0005 3400    nan    nan     nan   nan   nan    nan T -35.47    0.1   0.00 -35.47    10  1781    10  1781
20191018 0005 3600    nan    nan     nan   nan   nan    nan T -29.31    0.4   0.00 -29.31    21  1795    21  1795
20191018 0005 3800    nan    nan     nan   nan   nan    nan T -31.49    0.2   0.00 -31.49    11  1790    11  1790
20191018 0005 4000    nan    nan     nan   nan   nan    nan T -26.14    0.9   0.00 -26.14     8  1072     8  1072
20191018 0005 4200    nan    nan     nan   nan   nan    nan T -33.74    0.1   0.00 -33.74     0  1075     0  1075
20191018 0005 4400    nan    nan     nan   nan   nan    nan T -37.92    0.1   0.00 -37.92     4   720     4   720
20191018 0005 4600    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0   720     0   720
20191018 0005 4800    nan    nan     nan   nan   nan    nan T -41.20    0.0   0.00 -41.20     3  1080     3  1080
20191018 0010    0   1.15  -0.09  -45.66  1.15  94.4   2.86 F  -2.39  202.9  18.45  24.04   519   707  4426  5293
20191018 0010  200  -0.21   0.96   -7.85  0.98 347.4   3.23 F  -7.75   59.1   5.37  13.18  1202  7322  3436 12956
20191018 0010  400   1.62   0.68    0.46  1.75  67.3   2.38 F -13.07   17.3   1.57  -6.95   845  9004  1317 11203
20191018 0010  600   1.47   0.57    0.19  1.58  69.0   1.62 F  -9.85   36.4   0.00  -8.56   845  5936  1043  6691
20191018 0010  800   1.43   0.61   -0.52  1.55  67.0   1.99 F -13.81   14.6   0.00  -9.53   810  7062   964  7788
