# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06410,RAD:BX42,PLC:Jabbeke,NOD:bejab,CTY:605,CMT:bejab_scan_v3_V_dBZ
# polar volume input: /tmp/20191024000000.rad.bejab.pvol.dbzh.scanv.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191024 0000    0    nan    nan     nan   nan   nan   3.70 T    nan    nan    nan  20.46     0     0  6536  7910
20191024 0000  200  -3.61   0.07  -53.21  3.61 271.1   3.93 F  -1.63  241.4  21.94  16.08  2308  4361  9527 14415
20191024 0000  400  -3.00  -2.78  -33.58  4.09 227.1   4.05 F  -4.24  132.4  12.03  -1.62  2671  6931  5806 11791
20191024 0000  600  -1.83  -2.81   -5.61  3.35 213.1   3.85 F  -3.60  153.4  13.94  -1.97  2323  4359  4443  7407
20191024 0000  800  -5.48  -2.56   -2.57  6.05 244.9   3.30 F  -1.37  256.6  23.33   0.01  3484  5383  6052  8660
20191024 0000 1000  -3.95   0.45   -3.38  3.97 276.5   3.70 F  -6.31   82.2   7.47  -5.47  1554  3888  2150  5051
20191024 0000 1200   0.58   1.63    1.85  1.73  19.5   3.18 F -14.82   11.6   1.05  -8.22   566  5246   801  6185
20191024 0000 1400   0.77   1.14    0.25  1.38  34.0   2.50 F -12.76   18.6   1.69  -9.52   569  4912   627  5345
20191024 0000 1600   0.25   4.54   -1.47  4.55   3.2   4.60 F -13.36   16.2   1.48 -13.22   294  3956   312  4266
20191024 0000 1800   0.21  10.37  -11.92 10.37   1.1   4.27 F -13.69   15.0   1.37  -4.90   176  3494   339  4067
20191024 0000 2000  -0.54   4.05   -5.39  4.08 352.5   5.10 F -19.53    3.9   0.36  -8.20   192  2945   383  3708
20191024 0000 2200   0.11   0.73   -1.25  0.73   8.5   5.37 F -21.45    2.5   0.23  -7.49   178  2617   495  3413
20191024 0000 2400   1.70   4.40    1.06  4.72  21.1   4.17 F -21.16    2.7   0.24  -0.35   170  2248   506  3161
20191024 0000 2600  -0.55  11.34   -5.11 11.35 357.2   2.77 F -15.33   10.3   0.94   0.42   176  1711   609  2821
20191024 0000 2800    nan    nan     nan   nan   nan   2.88 T -19.42    4.0   0.00  -4.31   130  1464   458  2488
20191024 0000 3000    nan    nan     nan   nan   nan   2.09 T -21.25    2.6   0.00  -6.74    90  1050   328  1786
20191024 0000 3200    nan    nan     nan   nan   nan   1.49 T -16.38    8.1   0.00  -1.30    77  1131   532  2134
20191024 0000 3400    nan    nan     nan   nan   nan   0.86 T -13.86   14.5   0.00   1.87    89   866   590  1783
20191024 0000 3600    nan    nan     nan   nan   nan   1.16 T -15.22   10.6   0.00   4.02    55   774   715  1789
20191024 0000 3800    nan    nan     nan   nan   nan   1.85 T -15.00   11.1   0.00   2.71    86   772   743  1793
20191024 0000 4000    nan    nan     nan   nan   nan   1.08 T -16.92    7.1   0.00   0.81    79   488   446  1075
20191024 0000 4200    nan    nan     nan   nan   nan   1.06 T -14.39   12.8   0.00   1.63    97   488   508  1075
20191024 0000 4400    nan    nan     nan   nan   nan   1.18 T -10.54   31.0   0.00   0.75   105   373   364   719
20191024 0000 4600    nan    nan     nan   nan   nan   1.12 T -10.94   28.3   0.00   2.97    63   230   474   718
20191024 0000 4800    nan    nan     nan   nan   nan   1.01 T  -9.38   40.5   0.00   1.53   183   501   660  1073
20191024 0005    0    nan    nan     nan   nan   nan   3.66 T    nan    nan    nan  21.14     3     3  6502  7849
20191024 0005  200  -3.26  -0.15  -53.35  3.26 267.3   4.00 F  -2.48  198.7  18.06  12.38  1995  3906  9257 14420
20191024 0005  400  -1.91  -1.34  -23.55  2.33 235.1   4.03 F  -3.80  146.5  13.32  -0.56  2650  6841  5566 11793
20191024 0005  600  -0.73  -3.33  -14.76  3.40 192.3   3.95 F  -3.99  140.3  12.75  -1.75  1773  3666  4287  7356
20191024 0005  800  -4.74  -2.90   -1.32  5.56 238.5   3.31 F  -1.41  254.4  23.12   0.01  2909  4561  6073  8653
20191024 0005 1000  -3.15   0.10   -6.08  3.16 271.8   3.69 F  -5.88   90.7   8.25  -4.95  1497  3595  2286  5098
20191024 0005 1200   1.10   1.18   -0.27  1.61  43.0   2.75 F -14.74   11.8   1.07  -7.21   585  5256   882  6215
20191024 0005 1400   1.43   1.41   -1.28  2.01  45.4   3.17 F -15.41   10.1   0.92  -9.32   586  4849   681  5366
20191024 0005 1600   0.13   2.08   -1.66  2.08   3.5   2.91 F -19.86    3.6   0.33 -14.24   258  3832   353  4258
20191024 0005 1800    nan    nan     nan   nan   nan   3.91 T -20.08    3.4   0.00  -4.75   175  3407   392  4040
20191024 0005 2000   0.17   6.79  -15.24  6.79   1.4   4.11 F -16.29    8.3   0.75  -9.49   227  3052   410  3700
20191024 0005 2200   1.64   2.65   -1.99  3.11  31.8   4.69 F -17.98    5.6   0.51 -10.48   282  2792   531  3384
20191024 0005 2400   1.37   4.38   -0.93  4.59  17.4   4.27 F -19.69    3.8   0.34  -1.82   187  2396   532  3144
20191024 0005 2600    nan    nan     nan   nan   nan   3.48 T -20.30    3.3   0.00  -0.98   206  1880   610  2819
20191024 0005 2800  -0.62  14.19  -10.60 14.21 357.5   3.50 F -15.02   11.1   1.01  -7.64   222  1677   542  2479
20191024 0005 3000    nan    nan     nan   nan   nan   2.31 T -15.59    9.7   0.00  -7.63   147  1200   375  1778
20191024 0005 3200    nan    nan     nan   nan   nan   1.06 T -16.31    8.2   0.00  -4.00   112  1245   514  2140
20191024 0005 3400    nan    nan     nan   nan   nan   1.17 T -17.72    5.9   0.00  -0.64    89   952   488  1786
20191024 0005 3600  -0.06  20.22   -3.71 20.22 359.8   1.19 F -19.72    3.8   0.00   2.26    76   878   639  1782
20191024 0005 3800   1.19  19.20   -2.96 19.24   3.5   1.55 F -17.33    6.5   0.00   1.12    81   850   705  1788
20191024 0005 4000   2.05  19.73   -0.51 19.83   5.9   1.21 F -16.18    8.5   0.00  -3.39    93   524   451  1079
20191024 0005 4200   2.93  18.96   -1.04 19.18   8.8   1.21 F -12.48   19.9   0.00  -0.84   136   507   549  1079
20191024 0005 4400   3.28  18.91   -0.98 19.19   9.8   1.17 F -10.65   30.2   0.00  -0.50   155   385   423   720
20191024 0005 4600    nan    nan     nan   nan   nan   1.50 T  -9.56   38.9   0.00   1.42    58   250   447   715
20191024 0005 4800   3.13  18.11    0.01 18.38   9.8   1.17 F  -8.32   51.8   0.00   0.53   254   526   727  1075
20191024 0010    0    nan    nan     nan   nan   nan   3.64 T    nan    nan    nan  23.59     6     6  6077  7566
20191024 0010  200  -3.32  -0.18  -59.29  3.33 266.8   4.00 F  -2.87  181.8  16.52  29.55  1739  4018  8896 14223
20191024 0010  400  -2.75  -2.03  -30.12  3.42 233.6   4.13 F  -3.54  155.8  14.16   6.23  2728  7137  5751 11806
20191024 0010  600  -2.79  -3.54  -17.01  4.51 218.3   3.78 F  -3.55  155.3  14.12  -1.83  1946  3830  4364  7385
20191024 0010  800  -5.56  -3.15   -6.20  6.39 240.5   3.23 F  -0.88  287.1  26.10   5.18  3442  4837  6316  8774
20191024 0010 1000  -3.94   0.04   -2.60  3.94 270.6   3.68 F  -5.51   98.9   8.99  -4.65  1622  3712  2394  5178
20191024 0010 1200   1.77   1.05    0.45  2.05  59.4   2.88 F -14.77   11.7   1.07 -11.47   666  5010  1048  6261
20191024 0010 1400   1.90   0.87   -1.15  2.09  65.4   3.36 F -15.16   10.7   0.97  -6.39   613  4973   774  5425
20191024 0010 1600   3.27   3.43  -10.00  4.74  43.6   4.58 F -15.97    8.9   0.81 -13.79   411  3857   535  4275
20191024 0010 1800   2.20   3.86   -6.88  4.44  29.8   3.82 F -16.56    7.8   0.71  -3.82   235  3448   444  4085
20191024 0010 2000  -0.38   3.68   -9.91  3.70 354.1   3.97 F -15.74    9.4   0.85  -2.36   245  2981   469  3703
20191024 0010 2200  -0.55   6.47  -16.02  6.50 355.2   3.93 F -17.34    6.5   0.59 -10.32   257  2735   589  3358
20191024 0010 2400    nan    nan     nan   nan   nan   3.77 T -18.65    4.8   0.00  -4.39   192  2463   598  3142
20191024 0010 2600    nan    nan     nan   nan   nan   3.28 T -22.07    2.2   0.00   3.41   126  1962   547  2818
20191024 0010 2800    nan    nan     nan   nan   nan   3.17 T -17.16    6.8   0.00  -0.35   164  1589   579  2486
20191024 0010 3000    nan    nan     nan   nan   nan   2.15 T -19.26    4.2   0.00  -6.45    90  1056   488  1787
20191024 0010 3200    nan    nan     nan   nan   nan   1.83 T -24.13    1.4   0.00  -3.44    51  1132   606  2147
20191024 0010 3400    nan    nan     nan   nan   nan   1.35 T -23.79    1.5   0.00  -2.13    44   892   614  1791
20191024 0010 3600    nan    nan     nan   nan   nan   1.33 T -22.45    2.0   0.00   3.52    54   820   691  1787
20191024 0010 3800   1.52  20.56   -2.03 20.61   4.2   1.59 F -16.41    8.0   0.00   1.87    97   785   774  1790
20191024 0010 4000    nan    nan     nan   nan   nan   1.15 T  -9.56   38.9   0.00  -0.21   101   445   532  1077
20191024 0010 4200   3.05  19.28   -2.38 19.52   9.0   1.32 F -10.87   28.8   0.00  -0.04   135   437   626  1076
