# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06410,RAD:BX42,PLC:Jabbeke,NOD:bejab,CTY:605,CMT:bejab_scan_v3_V_dBZ
# polar volume input: /tmp/20191026000000.rad.bejab.pvol.dbzh.scanv.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191026 0000    0  -0.12   1.07  -23.67  1.08 353.4   2.03 F  -7.77   58.8   5.35  25.92   279   572  2095  3809
20191026 0000  200   1.42   0.53  -15.30  1.52  69.6   2.16 F  -8.52   49.4   4.49  11.56   989  7705  2097 12407
20191026 0000  400   1.18   1.02    2.57  1.55  49.2   1.61 F -14.13   13.6   0.00  -7.76   704  8870  1103 11049
20191026 0000  600   1.10   0.74    1.79  1.32  56.2   1.51 F -12.21   21.1   0.00  -9.71   754  5880   924  6517
20191026 0000  800   1.53   0.92    1.01  1.78  58.9   1.63 F -11.19   26.8   0.00 -10.62   728  7132   870  7629
20191026 0000 1000   0.99   0.75   -1.10  1.24  52.6   1.73 F -14.88   11.4   0.00 -13.58   546  4371   580  4736
20191026 0000 1200   1.61   0.48    0.01  1.68  73.3   1.48 F -17.19    6.7   0.00 -16.26   517  5908   645  6180
20191026 0000 1400   1.28   0.50   -0.23  1.37  68.8   1.74 F -10.79   29.3   0.00  -8.13   567  5336   569  5339
20191026 0000 1600   0.83   0.97   -0.17  1.28  40.8   1.43 F -19.16    4.3   0.00 -19.16   306  4270   306  4270
20191026 0000 1800   0.25   0.77    0.35  0.81  17.9   2.16 F -19.66    3.8   0.35 -19.66   158  4042   158  4042
20191026 0000 2000   0.95   1.17   -0.24  1.51  38.9   1.62 F -21.75    2.3   0.00 -21.75   165  3707   165  3707
20191026 0000 2200   0.81   0.42   -0.80  0.91  62.5   1.40 F -23.05    1.7   0.00 -21.96   193  3282   268  3379
20191026 0000 2400   0.96   1.06   -0.45  1.43  42.4   1.20 F -22.69    1.9   0.00 -22.58   146  3102   191  3173
20191026 0000 2600    nan    nan     nan   nan   nan    nan T -25.60    1.0   0.00 -25.60   142  2838   142  2839
20191026 0000 2800    nan    nan     nan   nan   nan    nan T -22.33    2.1   0.00 -22.33   148  2477   148  2477
20191026 0000 3000    nan    nan     nan   nan   nan    nan T -25.21    1.1   0.00 -25.21    67  1786    67  1786
20191026 0000 3200    nan    nan     nan   nan   nan    nan T -25.98    0.9   0.00 -25.98    34  2148    34  2148
20191026 0000 3400    nan    nan     nan   nan   nan    nan T -36.70    0.1   0.00 -36.70    11  1788    11  1788
20191026 0000 3600    nan    nan     nan   nan   nan    nan T -29.51    0.4   0.00 -29.51    21  1796    21  1796
20191026 0000 3800    nan    nan     nan   nan   nan    nan T -31.16    0.3   0.00 -31.16    10  1794    10  1794
20191026 0000 4000    nan    nan     nan   nan   nan    nan T -33.04    0.2   0.00 -33.04     6  1075     6  1075
20191026 0000 4200    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0  1079     0  1079
20191026 0000 4400    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0   720     0   720
20191026 0000 4600    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0   720     0   720
20191026 0000 4800    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0  1080     0  1080
20191026 0005    0    nan    nan     nan   nan   nan   1.90 T  -7.93   56.6   0.00  26.97   295   561  2139  3834
20191026 0005  200   1.48   0.36  -11.58  1.53  76.5   2.30 F  -8.50   49.7   4.51  15.19   876  7283  1941 12314
20191026 0005  400   1.41   0.66   -0.23  1.56  64.8   1.62 F -11.32   25.9   0.00  -7.42   716  8991  1066 11042
20191026 0005  600   1.49   0.72    0.91  1.65  64.1   1.53 F -11.73   23.6   0.00  -9.33   699  5719   968  6518
20191026 0005  800   1.30   0.83    0.81  1.55  57.3   1.42 F -13.12   17.2   0.00 -11.15   757  6947   912  7662
20191026 0005 1000   1.29   0.84   -0.79  1.54  56.9   1.69 F -13.46   15.9   0.00 -12.17   594  4312   637  4722
20191026 0005 1200   1.31   0.43    0.77  1.38  72.0   1.44 F -18.21    5.3   0.00 -16.93   452  5885   569  6126
20191026 0005 1400   1.01   0.83    1.23  1.31  50.7   1.41 F -16.05    8.7   0.00 -16.05   580  5383   581  5384
20191026 0005 1600   0.39   0.82    2.64  0.91  25.3   1.66 F -19.19    4.2   0.00 -19.19   283  4265   283  4265
20191026 0005 1800   0.02   1.03    3.18  1.03   1.3   1.64 F -21.99    2.2   0.00 -21.99   139  4016   139  4016
20191026 0005 2000   0.63   1.13   -0.31  1.29  29.2   1.45 F -21.25    2.6   0.00 -21.25   155  3697   155  3697
20191026 0005 2200   0.55   0.30   -1.02  0.62  61.7   1.32 F -22.09    2.2   0.00 -21.40   201  3308   275  3405
20191026 0005 2400   1.33   1.43    0.12  1.95  43.0   1.13 F -23.66    1.5   0.00 -23.48   141  3103   192  3173
20191026 0005 2600    nan    nan     nan   nan   nan    nan T -24.92    1.1   0.00 -24.92   129  2821   129  2821
20191026 0005 2800    nan    nan     nan   nan   nan    nan T -21.69    2.4   0.00 -21.69   135  2473   135  2473
20191026 0005 3000    nan    nan     nan   nan   nan    nan T -25.22    1.1   0.00 -25.22    74  1780    74  1780
20191026 0005 3200    nan    nan     nan   nan   nan    nan T -28.73    0.5   0.00 -28.73    28  2140    28  2140
20191026 0005 3400    nan    nan     nan   nan   nan    nan T -34.63    0.1   0.00 -34.63    11  1788    11  1788
20191026 0005 3600    nan    nan     nan   nan   nan    nan T -30.05    0.3   0.00 -30.05    23  1797    23  1797
20191026 0005 3800    nan    nan     nan   nan   nan    nan T -32.31    0.2   0.00 -32.31    12  1794    12  1794
20191026 0005 4000    nan    nan     nan   nan   nan    nan T -31.77    0.2   0.00 -31.77     5  1080     5  1080
20191026 0005 4200    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0  1080     0  1080
20191026 0005 4400    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0   720     0   720
20191026 0005 4600    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0   720     0   720
20191026 0005 4800    nan    nan     nan   nan   nan    nan T   -inf    0.0   0.00   -inf     0  1080     0  1080
20191026 0010    0   0.37   0.74  -20.86  0.83  26.2   2.07 F  -7.69   59.9   5.44  28.10   221   585  2192  3887
20191026 0010  200   1.19   0.57   -9.38  1.32  64.4   2.10 F  -8.30   52.0   4.73  12.77   859  7359  2026 12469
20191026 0010  400   1.42   0.95    3.13  1.71  56.3   1.71 F -13.47   15.8   0.00  -8.62   698  9346  1072 11062
20191026 0010  600   1.37   0.84    0.59  1.60  58.4   1.42 F -13.69   15.0   0.00 -10.12   703  5646   957  6563
20191026 0010  800   1.28   0.70   -0.37  1.46  61.2   1.76 F -17.96    5.6   0.00 -14.36   713  6898   894  7711
20191026 0010 1000   1.05   0.72   -1.49  1.27  55.5   1.60 F -15.80    9.2   0.00 -14.03   575  4327   611  4708
20191026 0010 1200   1.57   0.68    1.03  1.71  66.8   1.60 F -17.45    6.3   0.00 -16.43   516  5886   641  6153
20191026 0010 1400   1.17   0.70    0.09  1.37  58.9   1.55 F -16.69    7.5   0.00 -16.69   575  5348   576  5350
20191026 0010 1600   0.55   1.07    0.62  1.21  27.1   1.25 F -19.79    3.7   0.00 -19.79   288  4269   288  4269
