radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,dbz,eta,dens,DBZH,n,n_dbz,n_all,n_dbz_all,lat,lon,day,sunrise,sunset
KBGM,2016-09-02T00:06:00Z,0,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,400,1.96,-10.4,39.67,10.59,169.3,3.98,FALSE,11.8,327.2,29.745454545454546,11.09,5918,6194,21364,22208,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,600,1.16,-10.47,-11.97,10.54,173.7,3.73,FALSE,12.26,363.6,33.054545454545455,11.79,41971,43468,55876,57792,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,800,1.1,-10.98,0.78,11.03,174.3,3.47,FALSE,10.51,243.1,22.099999999999998,10.21,29550,30222,39185,40028,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,1000,1.14,-11.14,-2.02,11.2,174.2,3.32,FALSE,9.77,204.9,18.62727272727273,9.84,32046,32642,34655,35281,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,1200,-0.06,-11.61,1.3,11.61,180.3,3.49,FALSE,5.62,78.8,7.163636363636363,5.67,17443,18214,19879,20697,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,1400,-1.45,-13.42,8.5,13.5,186.2,3.7,FALSE,1.52,30.7,2.790909090909091,1.25,14104,14539,19126,19622,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,1600,-1.22,-11.51,10.57,11.58,186,2.72,FALSE,-3.07,10.6,0.9636363636363636,-3.16,3684,4052,7461,7898,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,1800,-2.75,-9.96,11.95,10.34,195.4,2.51,FALSE,-7.29,4,0.36363636363636365,-5.99,937,988,7614,7957,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,2000,NaN,NaN,NaN,NaN,NaN,1.89,TRUE,-15.63,0.6,0,-13.06,35,37,4329,4505,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,2200,NaN,NaN,NaN,NaN,NaN,2.39,TRUE,NaN,NaN,NaN,-18.41,7,7,2862,3428,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,2400,NaN,NaN,NaN,NaN,NaN,2.57,TRUE,NaN,NaN,NaN,-19.87,0,1,494,696,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,2600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,2800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,3000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,3200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,3400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,3600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,3800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,4000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
KBGM,2016-09-02T00:06:00Z,4200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-02T10:33:57Z,2016-09-02T23:32:06Z
