radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,dbz,eta,dens,DBZH,n,n_dbz,n_all,n_dbz_all,lat,lon,day,sunrise,sunset
KBGM,2016-09-01T00:02:00Z,0,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,400,NaN,NaN,NaN,NaN,NaN,2.81,TRUE,1.54,30.8,2.8000000000000003,3.77,326,356,22485,28416,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,600,4.14,3.84,12.17,5.65,47.2,2.8,FALSE,3.36,46.9,4.263636363636364,0.5,9006,13442,65947,104455,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,800,5.06,0.24,15.17,5.07,87.2,2.42,FALSE,-7.89,3.5,0.3181818181818182,-10.33,2313,11145,21321,63542,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,1000,4.74,-2.69,18.48,5.45,119.6,2.38,FALSE,-16.17,0.5,0.045454545454545456,-15.58,652,8851,11789,38006,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,1200,4.41,-4.09,-2.49,6.02,132.9,2.29,FALSE,-19.61,0.2,0.018181818181818184,-16.93,990,8026,8434,25583,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,1400,4.78,-3.55,-2.96,5.96,126.6,2.34,FALSE,-22.72,0.1,0.009090909090909092,-19.6,407,9945,2718,20376,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,1600,3.75,-3.03,-7.32,4.82,128.9,2.62,FALSE,-24.65,0.1,0.009090909090909092,-24.28,247,11786,442,14716,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,1800,4.14,-2.03,-5.69,4.61,116.1,3.06,FALSE,-25.29,0.1,0.009090909090909092,-25.38,154,10878,163,11482,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,2000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,-26.34,0.1,0.009090909090909092,-26.22,104,9532,123,9691,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,2200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,-27.54,0,0,-27.54,15,6465,15,6465,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,2400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,-28.7,0,0,-28.7,12,6111,12,6111,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,2600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,-31.65,0,0,-31.65,7,4310,7,4310,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,2800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,-28.88,0,0,-28.88,8,2516,8,2516,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,3000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,-28.99,0,0,-28.99,1,2515,1,2515,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,3200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,-29.28,0,0,-29.28,1,1080,1,1080,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,3400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,3600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,3800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,4000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,4200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,4400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,4600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:02:00Z,4800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:06:00Z,0,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:06:00Z,200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:06:00Z,400,NaN,NaN,NaN,NaN,NaN,2.71,TRUE,4.44,60.1,5.463636363636364,3.09,1157,1202,23097,28283,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
KBGM,2016-09-01T00:06:00Z,600,3.91,3.47,38.79,5.23,48.4,2.76,FALSE,1.38,29.7,2.6999999999999997,-0.28,12012,16014,69725,103785,42.2,-75.98,FALSE,2016-09-01T10:32:54Z,2016-09-01T23:33:47Z
