# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06475,RAD:BX43,PLC:Helchteren,NOD:behel,CTY:605,CMT:behel_scan_200km_dp_dBZ
# polar volume input: /tmp/20191015143000.rad.behel.pvol.dbzh.scanz.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191015 1430    0    nan    nan     nan   nan   nan   0.69 T    nan    nan   0.00  23.63     0     0 10276 10411
20191015 1430  200    nan    nan     nan   nan   nan   0.92 T    nan    nan   0.00  23.18     0     0 60511 61162
20191015 1430  400    nan    nan     nan   nan   nan   0.77 T    nan    nan   0.00  18.47     0     0 22723 22739
20191015 1430  600    nan    nan     nan   nan   nan   0.53 T    nan    nan   0.00  18.49     0     0 16325 16332
20191015 1430  800    nan    nan     nan   nan   nan   0.47 T    nan    nan   0.00  18.27     0     0 15711 15711
20191015 1430 1000    nan    nan     nan   nan   nan   0.53 T    nan    nan   0.00  18.68     0     0 11784 11784
20191015 1430 1200    nan    nan     nan   nan   nan   0.48 T    nan    nan   0.00  18.21     0     0 12908 12908
20191015 1430 1400    nan    nan     nan   nan   nan   0.49 T    nan    nan   0.00  18.55     0     0  9755  9755
20191015 1430 1600    nan    nan     nan   nan   nan   0.61 T    nan    nan   0.00  18.58     0     0  8824  8824
20191015 1430 1800    nan    nan     nan   nan   nan   0.78 T    nan    nan   0.00  18.54     0     0  9583  9583
20191015 1430 2000    nan    nan     nan   nan   nan   0.90 T    nan    nan   0.00  21.17     0     0  9964  9964
20191015 1430 2200    nan    nan     nan   nan   nan   1.19 T    nan    nan   0.00  27.91     0     0  8592  8592
20191015 1430 2400    nan    nan     nan   nan   nan   1.24 T    nan    nan   0.00  26.46     0     0  7924  7925
20191015 1430 2600    nan    nan     nan   nan   nan   1.34 T    nan    nan   0.00  21.24     0     0  7325  7325
20191015 1430 2800    nan    nan     nan   nan   nan   1.58 T    nan    nan   0.00  19.10     0     0  7624  7675
20191015 1430 3000    nan    nan     nan   nan   nan   2.51 T    nan    nan    nan  18.04     0     0  6667  6710
20191015 1430 3200    nan    nan     nan   nan   nan   2.01 T    nan    nan    nan  16.79     0     0  7049  7049
20191015 1430 3400    nan    nan     nan   nan   nan   1.42 T    nan    nan   0.00  16.87     0     0  4791  4791
20191015 1430 3600    nan    nan     nan   nan   nan   1.03 T    nan    nan   0.00  17.33     0     0  4419  4419
20191015 1430 3800    nan    nan     nan   nan   nan   1.19 T    nan    nan   0.00  17.35     0     0  4867  4867
20191015 1430 4000    nan    nan     nan   nan   nan   1.33 T    nan    nan   0.00  17.06     0     0  4480  4480
20191015 1430 4200    nan    nan     nan   nan   nan   1.39 T    nan    nan   0.00  17.01     0     0  5244  5244
20191015 1430 4400    nan    nan     nan   nan   nan   1.39 T    nan    nan   0.00  16.76     0     0  3950  3950
20191015 1430 4600    nan    nan     nan   nan   nan   1.26 T    nan    nan   0.00  16.02     0     0  3638  3638
20191015 1430 4800    nan    nan     nan   nan   nan   1.33 T    nan    nan   0.00  15.09     0     0  3629  3629
20191015 1430    0    nan    nan     nan   nan   nan   0.69 T    nan    nan   0.00  23.63     0     0 10276 10411
20191015 1430  200    nan    nan     nan   nan   nan   0.92 T    nan    nan   0.00  23.18     0     0 60511 61162
20191015 1430  400    nan    nan     nan   nan   nan   0.77 T    nan    nan   0.00  18.47     0     0 22723 22739
20191015 1430  600    nan    nan     nan   nan   nan   0.53 T    nan    nan   0.00  18.49     0     0 16325 16332
20191015 1430  800    nan    nan     nan   nan   nan   0.47 T    nan    nan   0.00  18.27     0     0 15711 15711
20191015 1430 1000    nan    nan     nan   nan   nan   0.53 T    nan    nan   0.00  18.68     0     0 11784 11784
20191015 1430 1200    nan    nan     nan   nan   nan   0.48 T    nan    nan   0.00  18.21     0     0 12908 12908
20191015 1430 1400    nan    nan     nan   nan   nan   0.49 T    nan    nan   0.00  18.55     0     0  9755  9755
20191015 1430 1600    nan    nan     nan   nan   nan   0.61 T    nan    nan   0.00  18.58     0     0  8824  8824
20191015 1430 1800    nan    nan     nan   nan   nan   0.78 T    nan    nan   0.00  18.54     0     0  9583  9583
20191015 1430 2000    nan    nan     nan   nan   nan   0.90 T    nan    nan   0.00  21.17     0     0  9964  9964
20191015 1430 2200    nan    nan     nan   nan   nan   1.19 T    nan    nan   0.00  27.91     0     0  8592  8592
20191015 1430 2400    nan    nan     nan   nan   nan   1.24 T    nan    nan   0.00  26.46     0     0  7924  7925
20191015 1430 2600    nan    nan     nan   nan   nan   1.34 T    nan    nan   0.00  21.24     0     0  7325  7325
