# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06475,RAD:BX43,PLC:Helchteren,NOD:behel,CTY:605,CMT:behel_scan_200km_dp_dBZ
# polar volume input: /tmp/20191019000000.rad.behel.pvol.dbzh.scanz.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191019 0000    0    nan    nan     nan   nan   nan   3.53 T    nan    nan    nan  26.37     0     0  4531  7246
20191019 0000  200  -2.94  -1.81  -13.36  3.46 238.4   3.54 F  -4.69  117.9  10.72  24.46  4756  7818 27985 43284
20191019 0000  400  -1.73  -1.09   -0.42  2.05 237.7   3.69 F -12.14   21.2   1.93   5.64  2563 12289  4081 16929
20191019 0000  600   1.52  -0.02   -1.67  1.52  90.8   3.35 F -15.67    9.4   0.86 -12.92  1170 12162  1386 13712
20191019 0000  800  -0.34   3.01    4.67  3.03 353.6   3.70 F -19.45    3.9   0.36 -16.61   664 13229   797 14232
20191019 0000 1000  -0.03   2.28    3.69  2.28 359.2   3.53 F -18.46    5.0   0.45 -17.34   408  9931   460 10458
20191019 0000 1200  14.33   0.57    1.14 14.34  87.7   3.16 F -22.89    1.8   0.16 -22.89   250 12115   250 12115
20191019 0000 1400  -1.91   0.29   -2.99  1.93 278.7   3.05 F -21.75    2.3   0.21 -21.76   279  9041   280  9055
20191019 0000 1600   0.50   1.30    1.01  1.39  21.2   3.18 F -23.88    1.4   0.13 -23.96   153  7958   160  8130
20191019 0000 1800  -1.88  -0.90    3.26  2.09 244.3   2.87 F -27.08    0.7   0.06 -27.33   120  8430   159  9043
20191019 0000 2000    nan    nan     nan   nan   nan   2.93 T -24.97    1.1   0.00 -25.56   183  8199   208  9681
20191019 0000 2200    nan    nan     nan   nan   nan   3.27 T -28.45    0.5   0.00 -28.68    82  6201   143  8443
20191019 0000 2400    nan    nan     nan   nan   nan   1.95 T -27.65    0.6   0.00 -19.83    60  4161   770  7743
20191019 0000 2600    nan    nan     nan   nan   nan   1.23 T -25.64    0.9   0.00  -7.30   201  3234  1819  6950
20191019 0000 2800  15.46  10.43   -1.06 18.65  56.0   0.87 F -18.92    4.5   0.00  -0.54   827  2856  3579  7124
20191019 0000 3000  16.35  11.06   -1.86 19.74  55.9   0.79 F -12.18   21.0   0.00   2.60  1173  2341  4759  6511
20191019 0000 3200  16.57  12.38   -0.51 20.68  53.2   0.88 F  -8.65   47.4   0.00   3.36  1141  1861  6111  7114
20191019 0000 3400    nan    nan     nan   nan   nan   0.86 T  -6.94   70.2   0.00   4.55   950  1190  4818  5111
20191019 0000 3600    nan    nan     nan   nan   nan   0.77 T  -6.28   81.8   0.00   4.90  1153  1253  4749  4851
20191019 0000 3800    nan    nan     nan   nan   nan   3.54 T  -6.87   71.4   0.00   4.70  1203  1242  5195  5236
20191019 0000 4000    nan    nan     nan   nan   nan   3.44 T  -6.18   83.7   0.00   4.17  1053  1053  4634  4634
20191019 0000 4200  19.96   3.40    7.67 20.25  80.3   3.42 F  -5.21  104.6   9.51   2.90  1357  1363  5343  5346
20191019 0000 4400  39.77  19.71   -5.52 44.38  63.6   3.51 F  -4.98  110.3  10.03   1.76  1102  1110  3999  4018
20191019 0000 4600  39.29  19.77   -4.57 43.98  63.3   3.59 F  -6.00   87.2   7.92   0.04  1124  1136  3660  3686
20191019 0000 4800  22.64  34.34   -8.25 41.13  33.4   3.55 F  -7.37   63.6   5.78  -2.39  1362  1392  3684  3724
20191019 0005    0    nan    nan     nan   nan   nan   3.55 T    nan    nan    nan  25.27     0     0  4416  7350
20191019 0005  200  -2.99  -1.72    4.23  3.45 240.2   3.53 F  -4.19  132.4  12.04  23.70  4404  7244 28295 43924
20191019 0005  400  -2.22   0.26    0.09  2.23 276.6   3.65 F -11.55   24.3   2.21   7.27  2403 12776  4003 17018
20191019 0005  600  -0.92   1.46    0.06  1.73 327.9   3.42 F -11.23   26.2   2.38 -11.31  1242 13577  1252 13882
20191019 0005  800  -0.00   2.68    5.33  2.68 359.9   3.58 F -16.93    7.1   0.64 -15.60   790 13863   837 14360
20191019 0005 1000  -0.74  -1.78   -3.55  1.93 202.7   3.42 F -18.33    5.1   0.46 -18.24   488 10157   503 10386
20191019 0005 1200  -1.42  -1.11    2.64  1.80 232.1   2.83 F -21.62    2.4   0.22 -21.62   234 12259   234 12259
20191019 0005 1400   0.47   1.49    1.55  1.56  17.6   3.21 F -21.47    2.5   0.23 -21.48   267  9015   267  9031
20191019 0005 1600    nan    nan     nan   nan   nan   3.19 T -22.34    2.0   0.00 -21.52   131  7911   144  8183
20191019 0005 1800    nan    nan     nan   nan   nan   2.65 T -26.59    0.8   0.00 -26.95   129  8278   175  9116
20191019 0005 2000    nan    nan     nan   nan   nan   3.26 T -24.48    1.2   0.00 -25.25   191  7863   231  9680
20191019 0005 2200    nan    nan     nan   nan   nan   2.61 T -20.83    2.9   0.00 -21.06    79  5891   359  8398
20191019 0005 2400    nan    nan     nan   nan   nan   2.56 T -26.55    0.8   0.00 -13.55    69  4212  1477  7608
20191019 0005 2600    nan    nan     nan   nan   nan   2.57 T -26.15    0.8   0.00  -4.24   124  3604  2446  7045
20191019 0005 2800    nan    nan     nan   nan   nan   0.88 T -21.88    2.3   0.00   1.30   578  2868  3968  7139
20191019 0005 3000    nan    nan     nan   nan   nan   0.80 T -14.50   12.3   0.00   3.65  1051  2157  4859  6528
20191019 0005 3200    nan    nan     nan   nan   nan   0.84 T -10.04   34.5   0.00   4.37  1268  1874  6165  7171
20191019 0005 3400    nan    nan     nan   nan   nan   0.75 T  -7.68   59.3   0.00   4.58  1100  1318  4923  5186
20191019 0005 3600    nan    nan     nan   nan   nan   0.79 T  -7.94   55.8   0.00   4.18  1252  1315  4815  4891
20191019 0005 3800    nan    nan     nan   nan   nan   3.54 T  -7.15   66.9   0.00   3.80  1242  1254  5222  5248
20191019 0005 4000    nan    nan     nan   nan   nan   3.46 T  -6.03   86.7   0.00   3.44  1052  1056  4649  4653
20191019 0005 4200    nan    nan     nan   nan   nan   3.67 T  -5.41  100.1   0.00   2.48  1407  1408  5342  5353
20191019 0005 4400    nan    nan     nan   nan   nan   3.58 T  -5.12  107.0   0.00   1.32  1121  1125  3966  3982
20191019 0005 4600    nan    nan     nan   nan   nan   3.64 T  -5.48   98.3   0.00  -1.11  1229  1240  3672  3704
20191019 0005 4800    nan    nan     nan   nan   nan   3.53 T  -6.34   80.7   0.00  -3.58  1430  1448  3697  3738
