# vol2bird Vertical Profile of Birds (VPB)
# source: WMO:06475,RAD:BX43,PLC:Helchteren,NOD:behel,CTY:605,CMT:behel_scan_200km_dp_dBZ
# polar volume input: /tmp/20191027000000.rad.behel.pvol.dbzh.scanz.pvol.h5
# date   time HGHT    u      v       w     ff    dd  sd_vvp gap dbz     eta   dens   DBZH   n   n_dbz n_all n_dbz_all
20191027 0000    0    nan    nan     nan   nan   nan   1.51 T    nan    nan   0.00  24.05     0     0  9515  9932
20191027 0000  200    nan    nan     nan   nan   nan   1.98 T    nan    nan   0.00  23.47     0     0 52488 55215
20191027 0000  400    nan    nan     nan   nan   nan   1.30 T    nan    nan   0.00  16.40     0     0 21929 22086
20191027 0000  600    nan    nan     nan   nan   nan   1.28 T    nan    nan   0.00  16.06     0     0 16215 16229
20191027 0000  800    nan    nan     nan   nan   nan   3.49 T  -7.07   68.2   0.00  15.81    28    28 15498 15525
20191027 0000 1000    nan    nan     nan   nan   nan   0.84 T  -5.02  109.3   0.00  15.28   137   163 11162 11226
20191027 0000 1200    nan    nan     nan   nan   nan   0.90 T  -2.11  213.6   0.00  15.01    54    55 11993 12026
20191027 0000 1400    nan    nan     nan   nan   nan   0.71 T    nan    nan   0.00  15.14    13    13  9024  9035
20191027 0000 1600    nan    nan     nan   nan   nan   3.45 T    nan    nan    nan  14.86    16    16  8334  8342
20191027 0000 1800    nan    nan     nan   nan   nan   3.45 T  -2.35  202.4   0.00  14.66    71    71  9021  9021
20191027 0000 2000    nan    nan     nan   nan   nan   3.38 T  -2.98  175.0   0.00  14.54   119   119  9412  9418
20191027 0000 2200    nan    nan     nan   nan   nan   3.33 T  -3.98  139.1   0.00  14.65    48    48  8218  8231
20191027 0000 2400    nan    nan     nan   nan   nan   0.96 T    nan    nan   0.00  13.97     0     0  7509  7532
20191027 0000 2600    nan    nan     nan   nan   nan   1.00 T    nan    nan   0.00  13.07    11    11  6968  6968
20191027 0000 2800    nan    nan     nan   nan   nan   0.94 T  -5.98   87.6   0.00  12.48   117   117  7380  7380
